redVarietal,isVQA,subCategory/description,subCategory/id,consumerRating,featured/0,_isLimitedTimeOffer,regularPrice,isCraft,isDraft,promotionStartDate,whiteVarietal,tastingDescription,_promotionStartDate,_all_featured/0,_all_featured/1,promotionEndDate,sku,isLimitedTimeOffer,_featured/0,image,availableUnits,last_updated,subRegion,unitSize,upc/0,_blacklist,volume,name,style,countryName,isBCCraft,region,status,statusCode,color,grapeType,_regularPrice,isOrganic,storeCount,nameSuffix,alcoholPercentage,productCategory,isExclusive,all_featured/0,all_featured/1,restrictionCode,productSubCategory,namePrefix,countryCode,isOntarioVQA,class/description,class/id,productType,isKosher,_whitelist,inventoryCode,currentPrice,sweetness,isNew,all_promotions/0/urlAlias,all_promotions/0/name,all_promotions/0/promoCode,all_promotions/0/published,all_promotions/0/shortName,promotions/0/urlAlias,promotions/0/name,promotions/0/promoCode,promotions/0/published,promotions/0/shortName,nameSanitized,isBCVQA,_currentPrice,_promotionEndDate,votes,category/description,category/id,upc/1,upc/2,upc/3,upc/4,all_promotions/0,promotions/0,certificates/0,upc/5,upc/6,upc/7,upc/8,upc/9,upc/10,upc/11,upc/12,upc/13,upc/14,_all_featured/2,all_featured/2,upc/15,upc/16,upc/17,upc/18,upc/19,is_special_release,availability_override,upc/20,upc/21,upc/22,certificates/1
Cabernet Sauvignon,,Argentina Wine,1025,4.6,,,134.99,,,,,"96 Points, Tim Atkin - ""Consistently among the best red blends in Argentina, this is a cuvée of 78% Cabernet Sauvignon (the highest ever) with Malbec. It’s typically refined and well-balanced, with textured, grassy, peppery flavours, good backbone and impressive length."" (May 2017)
",,New Product,,,606665,,,http://www.bcliquorstores.com/files/606665.jpeg,17,4/4/2019 18:10,,1,7.79445E+12,FALSE,0.75,CABERNET SAUVIGNON MALBEC - CATENA ZAPATA NICOLAS 2014,,Argentina,FALSE,,3,3,RED,CABERNET SAUVIGNON,134.99,FALSE,2, CATENA ZAPATA NICOLAS 2014,14,,FALSE,New Product,,SM,,CABERNET SAUVIGNON MALBEC ,AR,,Argentina Red Wine,1060,Red Wine,FALSE,FALSE,0,134.99,0,TRUE,,,,,,,,,,,cabernet sauvignon malbec - catena zapata nicolas 2014,,134.99,,39,Wine,1005,89046444078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabernet / Merlot,,Chile Wine,1034,4,,,14.99,,,,,"Deep purple ruby color with dry and soft plumy berry character. This wine is light to medium bodied with little evidence of oak and tannin.
",,,,,257170,,,http://www.bcliquorstores.com/files/257170.jpeg,2423,4/4/2019 18:10,,1,7.80432E+12,FALSE,1.5,CABERNET SAUVIGNON MERLOT - CONO SUR TOCORNAL,,Chile,FALSE,,2,2,RED,CABERNET/MERLOT,14.99,FALSE,183, CONO SUR TOCORNAL,11.8,,FALSE,,,G,,CABERNET SAUVIGNON MERLOT ,CL,,Chile Red Wine,1112,Red Wine,FALSE,FALSE,0,14.99,0,FALSE,,,,,,,,,,,cabernet sauvignon merlot - cono sur tocornal,,14.99,,91,Wine,1005,7.80432E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabernet / Merlot,,Chile Wine,1034,3.5,,,11.99,,,,,"Long Country wines are fruity and easy to understand, great value for the money. Cherry, raspberry, and dark chocolate flavours.
",,BCL Select,,,655613,,,http://www.bcliquorstores.com/files/655613.jpeg,6273,4/4/2019 18:10,,1,7.80435E+12,FALSE,1,CABERNET SAUVIGNON MERLOT - LONG COUNTRY,,Chile,FALSE,,2,2,RED,CABERNET/MERLOT,11.99,FALSE,197, LONG COUNTRY,12.5,,TRUE,BCL Select,,C,,CABERNET SAUVIGNON MERLOT ,CL,,Chile Red Wine,1112,Red Wine,FALSE,FALSE,0,11.99,0,FALSE,,,,,,,,,,,cabernet sauvignon merlot - long country,,11.99,,72,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabernet Sauvignon,,South Africa Wine,1050,4.1,,,27.49,,,,,"The 2014 Classique is an excellent Bordeaux blend from South Africa. It has a fresh and inviting bouquet with raspberry, pomegranate, cedar and graphite. The palate is well-balanced with ripe black fruit infused with white pepper and tobacco, demonstrating fine weight and precision from start to finish. 
",,,,,663609,,,http://www.bcliquorstores.com/files/663609.jpeg,451,4/4/2019 18:10,,1,6.0098E+12,FALSE,0.75,CABERNET SAUVIGNON MERLOT - RUPERT & ROTHSCHILD CLASSIQUE 14,,South Africa,FALSE,,2,2,RED,CABERNET SAUVIGNON,27.49,FALSE,32, RUPERT & ROTHSCHILD CLASSIQUE 14,13,,FALSE,,,SR,,CABERNET SAUVIGNON MERLOT ,ZA,,South Africa Red Wine,1261,Red Wine,FALSE,FALSE,0,27.49,0,FALSE,,,,,,,,,,,cabernet sauvignon merlot - rupert & rothschild classique 14,,27.49,,26,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabernet / Merlot,,China Wine,1035,4.5,,,62.99,,,,,"91 Points, Anthony Gismondi - ""…The colour is inky black … the nose is… a mix of charred wood smoke and black raspberry, plummy fruit. The attack is ripe, reminiscent of sweet black cherries, dried herbs dark chocolate. … full marks to a finish that is more savoury …"" (August 2018)
",,,,,120042,,,http://www.bcliquorstores.com/files/120042.jpeg,157,4/4/2019 18:10,,1,6.2699E+11,FALSE,0.75,CABERNET SAUVIGNON MERLOT - SILVER HEIGHTS SUMMI NINGXIA 15,,China,FALSE,,2,2,RED,CABERNET/MERLOT,62.99,FALSE,17, SILVER HEIGHTS SUMMI NINGXIA 15,13.5,,FALSE,,,SM,,CABERNET SAUVIGNON MERLOT ,CN,,China Red Wine,1117,Red Wine,FALSE,FALSE,0,62.99,0,FALSE,,,,,,,,,,,cabernet sauvignon merlot - silver heights summi ningxia 15,,62.99,,15,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabernet / Merlot,,South Africa Wine,1050,4.3,,,14.99,,,,,"This delicious Cabernet Merlot is supple and elegant with velvety tannis, but structured enough to also benefit from additional time to develop further complexities. It shows off the ripe, fleshy black-cherry flavours and chocolate shavings and is easy to enjoy for any occasion.
",,BCL Select,,,183041,,,http://www.bcliquorstores.com/files/183041.jpeg,2569,4/4/2019 18:10,,1,6.00982E+12,FALSE,0.75,CABERNET SAUVIGNON MERLOT - SLENT FARMS,,South Africa,FALSE,,2,2,RED,CABERNET/MERLOT,14.99,FALSE,141, SLENT FARMS,14,,TRUE,BCL Select,,C,,CABERNET SAUVIGNON MERLOT ,ZA,,South Africa Red Wine,1261,Red Wine,FALSE,FALSE,0,14.99,0,FALSE,,,,,,,,,,,cabernet sauvignon merlot - slent farms,,14.99,,22,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabernet / Merlot,,South Africa Wine,1050,3.8,,,8.99,,,,,"This medium-bodied wine delivers fresh raspberry and blackberry aromas. The wine is soft and smooth with a fruit driven palate complimented by hints of violets and spice.
",,BCL Select,,,544668,,,http://www.bcliquorstores.com/files/544668.jpeg,3001,4/4/2019 18:10,,1,7.48294E+11,FALSE,0.75,CABERNET SAUVIGNON MERLOT - THE VINECRAFTER,,South Africa,FALSE,,2,2,RED,CABERNET/MERLOT,8.99,FALSE,148, THE VINECRAFTER,13.5,,TRUE,BCL Select,,C,,CABERNET SAUVIGNON MERLOT ,ZA,,South Africa Red Wine,1261,Red Wine,FALSE,FALSE,0,8.99,0,FALSE,,,,,,,,,,,cabernet sauvignon merlot - the vinecrafter,,8.99,,116,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabernet / Merlot,,South Africa Wine,1050,3.5,,TRUE,10.49,,,2019-04-01T00:00:00.000-07:00,,"A soft, fruit-driven wine with juicy berry fruit flavours and subtle hints of oak. Enjoy with roasted beef, steak, and hamburgers.
",2019-04-01T00:00:00.000-07:00,On Sale,,2019-04-27T00:00:00.000-07:00,340398,TRUE,,http://www.bcliquorstores.com/files/340398.jpeg,1846,4/4/2019 18:10,,1,6.0015E+12,FALSE,0.75,CABERNET SAUVIGNON MERLOT - TWO OCEANS,,South Africa,FALSE,,2,2,RED,CABERNET/MERLOT,10.49,FALSE,144, TWO OCEANS,13.5,,FALSE,On Sale,,G,,CABERNET SAUVIGNON MERLOT ,ZA,,South Africa Red Wine,1261,Red Wine,FALSE,FALSE,0,9.49,0,FALSE,,,,,,,,,,,cabernet sauvignon merlot - two oceans,,9.49,2019-04-27T00:00:00.000-07:00,44,Wine,1005,6.0015E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabernet / Shiraz,,Chile Wine,1034,4.1,,,14.99,,,,,"Plum purple concentrated color with aromas of lilac, coffee and blackberry. Elderberry fruit at mid palate with soft tannins on the finish.
",,,,,154617,,,http://www.bcliquorstores.com/files/154617.jpeg,1495,4/4/2019 18:10,,1,7.80432E+12,FALSE,1.5,CABERNET SAUVIGNON SHIRAZ - CONO SUR TOCORNAL,,Chile,FALSE,,2,2,RED,CABERNET/SHIRAZ,14.99,FALSE,127, CONO SUR TOCORNAL,13,,FALSE,,,G,,CABERNET SAUVIGNON SHIRAZ ,CL,,Chile Red Wine,1112,Red Wine,FALSE,FALSE,0,14.99,0,FALSE,,,,,,,,,,,cabernet sauvignon shiraz - cono sur tocornal,,14.99,,84,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabernet / Shiraz,,South Africa Wine,1050,4.2,,TRUE,10.49,,,2019-04-01T00:00:00.000-07:00,,"56 Hundred is in reference to the price paid for Nederburg farm in 1791; since then the winery has built a reputation for quality wine. This offering is a full-flavoured experience with notes of black currant, plum, and charred oak on a medium weight palate that finishes with a ripe raspberry note.
",2019-04-01T00:00:00.000-07:00,On Sale,,2019-04-27T00:00:00.000-07:00,887802,TRUE,,http://www.bcliquorstores.com/files/887802.jpeg,310,4/4/2019 18:10,,1,6.00111E+12,FALSE,0.75,CABERNET SAUVIGNON SHIRAZ - NEDERBURG 56 HUNDRED,,South Africa,FALSE,,2,2,RED,CABERNET/SHIRAZ,10.49,FALSE,35, NEDERBURG 56 HUNDRED,13.5,,FALSE,On Sale,,SR,,CABERNET SAUVIGNON SHIRAZ ,ZA,,South Africa Red Wine,1261,Red Wine,FALSE,FALSE,0,9.49,0,FALSE,,,,,,,,,,,cabernet sauvignon shiraz - nederburg 56 hundred,,9.49,2019-04-27T00:00:00.000-07:00,8,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabernet / Shiraz,,South Africa Wine,1050,4.4,,,13.99,,,,,"Silver Medal, Michelangelo International Wine Awards 2017 - ""Peppery and spicy with rich berry aromas. The wine has richness and elegant fruit flavours, the palate is balanced with a  soft, smooth, silky “drink me” finish. Great structure and good length."" 
",,,,,553826,,,http://www.bcliquorstores.com/files/553826.jpeg,831,4/4/2019 18:10,,1,6.00988E+12,FALSE,0.75,CABERNET SAUVIGNON SHIRAZ - THE GRINDER BLUE MOOSE SWARTLAND,,South Africa,FALSE,,2,2,RED,CABERNET/SHIRAZ,13.99,FALSE,73, THE GRINDER BLUE MOOSE SWARTLAND,14,,FALSE,,,ST,,CABERNET SAUVIGNON SHIRAZ ,ZA,,South Africa Red Wine,1261,Red Wine,FALSE,FALSE,0,13.99,0,FALSE,,,,,,,,,,,cabernet sauvignon shiraz - the grinder blue moose swartland,,13.99,,59,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabernet / Shiraz,,Australia Wine,1026,4.5,,TRUE,25.49,,,2019-04-01T00:00:00.000-07:00,,"Bright, juicy fruit sings up front, with blueberry and blackberry flavors that show a good dose of sage and underbrush notes. Pepper, spice and cedar accents linger on the finish, where the tannins feel a tad taut. Cabernet Sauvignon and Shiraz. Drink now through 2022.
",2019-04-01T00:00:00.000-07:00,On Sale,,2019-04-27T00:00:00.000-07:00,331884,TRUE,,http://www.bcliquorstores.com/files/331884.jpeg,1494,4/4/2019 18:10,Barossa,1,9.31179E+12,FALSE,0.75,CABERNET SAUVIGNON SHIRAZ - YALUMBA SCRIBBLER BAROSSA 2016,,Australia,FALSE,South Australia,2,2,RED,CABERNET/SHIRAZ,25.49,FALSE,62, YALUMBA SCRIBBLER BAROSSA 2016,14.5,,FALSE,On Sale,,ST,,CABERNET SAUVIGNON SHIRAZ ,AU,,Australia Red Wine,1068,Red Wine,FALSE,FALSE,0,23.49,0,FALSE,,,,,,,,,,,cabernet sauvignon shiraz - yalumba scribbler barossa 2016,,23.49,2019-04-27T00:00:00.000-07:00,115,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabernet / Shiraz,,Chile Wine,1034,3.4,,,11.99,,,,,"Overdelivery in a glass as these two grapes really have class x 2. Hints of plum and spice and black fruits, the juiciness works well with all kinds of menu, from meatloaf to sausages to grilled peppers to grilled cheese.
",,BCL Select,,,259051,,,http://www.bcliquorstores.com/files/259051.jpeg,9629,4/4/2019 18:10,,1,7.80432E+12,FALSE,0.75,CABERNET SAUVIGNON SYRAH - ESTRELLA DE PASCUA,,Chile,FALSE,,2,2,RED,CABERNET/SHIRAZ,11.99,FALSE,189, ESTRELLA DE PASCUA,12.5,,TRUE,BCL Select,,C,,CABERNET SAUVIGNON SYRAH ,CL,,Chile Red Wine,1112,Red Wine,FALSE,FALSE,0,11.99,0,FALSE,,,,,,,,,,,cabernet sauvignon syrah - estrella de pascua,,11.99,,126,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabernet / Shiraz,,Chile Wine,1034,4.4,,,29.99,,,,,"Ninquén, meaning ""plateau on a mountain,"" describes the geography of this mountain vineyard in Chile, which provides an excellent terroir for this wine. This blend of Cabernet Sauvignon and Syrah offers opulent and generous aromas of Mediterranean herbs, black cherries, plums and spices. The palate is full-bodied with plush tannins. 
",,,,,371294,,,http://www.bcliquorstores.com/files/371294.jpeg,371,4/4/2019 18:10,,1,7.80441E+12,FALSE,0.75,CABERNET SAUVIGNON SYRAH - MONTGRAS NINQUEN COLCHAGUA MTN 15,,Chile,FALSE,,2,2,RED,CABERNET/SHIRAZ,29.99,FALSE,24, MONTGRAS NINQUEN COLCHAGUA MTN 15,14.5,,FALSE,,,SH,,CABERNET SAUVIGNON SYRAH ,CL,,Chile Red Wine,1112,Red Wine,FALSE,FALSE,0,29.99,0,FALSE,,,,,,,,,,,cabernet sauvignon syrah - montgras ninquen colchagua mtn 15,,29.99,,22,Wine,1005,7.80441E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabernet / Shiraz,,Australia Wine,1026,5,,,87.99,,,,,"95+ Points, Wine Advocate - ""A blend of 56% Cabernet Sauvignon and 44% Shiraz, the 2014 is very spicy with warm red and black fruit preserves, mocha, vanilla and yeast extract, with a touch of lavender. This blend is firm, rich, full-bodied and concentrated. Drink: 2017 - 2030."" (June 2016)
",,,,,462648,,,http://www.bcliquorstores.com/files/462648.jpeg,0,4/4/2019 18:10,Other,1,8.69013E+11,TRUE,0.75,CABERNET SHIRAZ - HICKINBOTHAM THE PEAK MCLAREN VALE 2014,,Australia,FALSE,South Australia,3,3,RED,CABERNET/SHIRAZ,87.99,FALSE,, HICKINBOTHAM THE PEAK MCLAREN VALE 2014,14,,FALSE,,,ST,,CABERNET SHIRAZ ,AU,,Australia Red Wine,1068,Red Wine,FALSE,FALSE,0,87.99,0,FALSE,,,,,,,,,,,cabernet shiraz - hickinbotham the peak mclaren vale 2014,,87.99,,2,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabernet / Shiraz,,Australia Wine,1026,3,,,20.99,,,,,"91 Points, James Halliday - “This is 100% all about drinkability and pleasure - and vice versa. It is brimming with red, purple, blue and black fruits - it's all in the eye of the beholder, and the type isn't important, or as important as it would be with more expensive single varietal wines. A classic all on its own."" (October 2016)
",,,,,17095,,,http://www.bcliquorstores.com/files/17095.jpeg,1984,4/4/2019 18:10,Coonawarra,1,9.33114E+12,FALSE,0.75,CABERNET SHIRAZ - MAJELLA THE MUSICIAN COONAWARRA 15,,Australia,FALSE,South Australia,2,2,RED,CABERNET/SHIRAZ,20.99,FALSE,125, MAJELLA THE MUSICIAN COONAWARRA 15,14.5,,FALSE,,,SR,,CABERNET SHIRAZ ,AU,,Australia Red Wine,1068,Red Wine,FALSE,FALSE,0,20.99,0,FALSE,,,,,,,,,,,cabernet shiraz - majella the musician coonawarra 15,,20.99,,124,Wine,1005,9.33114E+12,9.33114E+12,9.33114E+12,9.33114E+12,,,,9.33114E+12,9.33114E+12,9.33114E+12,,,,,,,,,,,,,,,,,,,,
Cabernet / Shiraz,,Australia Wine,1026,4.7,,,99.99,,,,,"95 Points, James Suckling - ""This continues as a rising star, showing a very attractive fusion of cabernet and shiraz. Cassis, blackberry, red plums and red currant fruits, the palate isn't overplayed in terms of weight or extract, but it's very complete and nicely rendered. Best from 2020-2030+."" (October 2017)
",,,,,309625,,,http://www.bcliquorstores.com/files/309625.jpeg,581,4/4/2019 18:10,Other,1,12354071209,FALSE,0.75,CABERNET SHIRAZ - PENFOLDS BIN 389 2015/16,,Australia,FALSE,South Australia,2,2,RED,CABERNET/SHIRAZ,99.99,FALSE,46, PENFOLDS BIN 389 2015/16,14.5,,FALSE,,,SM,,CABERNET SHIRAZ ,AU,,Australia Red Wine,1068,Red Wine,FALSE,FALSE,0,99.99,0,FALSE,,,,,,,,,,,cabernet shiraz - penfolds bin 389 2015/16,,99.99,,56,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabernet / Shiraz,,Australia Wine,1026,3.9,,,13.49,,,,,"Intense brick red with purple hues. On the nose, ripe and round blackberries conspire with flavours of plum and cinnamon spice. On the palate, notes of brooding red berries and fresh brewed coffee. Impressive length and structure with a seductively soft and lingering finish.
",,,,,119529,,,http://www.bcliquorstores.com/files/119529.jpeg,2688,4/4/2019 18:10,,1,9.33774E+12,FALSE,0.75,CABERNET SHIRAZ - SHOT IN THE DARK,,Australia,FALSE,South Eastern Australia,2,2,RED,CABERNET/SHIRAZ,13.49,,188, SHOT IN THE DARK,14.5,,FALSE,,,SR,,CABERNET SHIRAZ ,AU,,Australia Red Wine,1068,Red Wine,,FALSE,0,13.49,0,FALSE,,,,,,,,,,,cabernet shiraz - shot in the dark,,13.49,,116,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Blend,,Australia Wine,1026,3.9,,,17.99,,,,,"A deep cherry red colour leads to a bouquet showing blackcurrant from the Cabernet, vibrant red fruits from Shiraz and Merlot and charry oak in the background. The palate shows rich plummy bright red fruits, and long, savoury tannins adding complexity.
",,BCL Select,,,611467,,,http://www.bcliquorstores.com/files/611467.jpeg,3568,4/4/2019 18:10,Barossa,1,9.31191E+12,FALSE,0.75,CABERNET SHIRAZ MERLOT - PETER LEHMANN CLANCYS,,Australia,FALSE,South Australia,2,2,RED,OTHER BLEND,17.99,FALSE,162, PETER LEHMANN CLANCYS,14,,TRUE,BCL Select,,C,,CABERNET SHIRAZ MERLOT ,AU,,Australia Red Wine,1068,Red Wine,FALSE,FALSE,0,17.99,0,FALSE,,,,,,,,,,,cabernet shiraz merlot - peter lehmann clancys,,17.99,,88,Wine,1005,32726001290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Blend,,Chile Wine,1034,4.1,,,42.97,,,,,"94 Points & Top 100: 2018, Rank: 22, Wine Spectator - ""Rich and refined, delivering unctuous dark fruit and spice flavors that offer a creamy svelteness. Slate and mineral accents linger on the complex finish, with dark chocolate and olive notes. Cabernet Sauvignon, Carmenère, Cabernet Franc, Syrah and Merlot. Drink now through 2022."" (May 2018)
",,,,,30417,,,http://www.bcliquorstores.com/files/30417.jpeg,216,4/4/2019 18:10,,1,7.80464E+12,FALSE,0.75,CACHAPOAL RED - VIK MILLA CALA 2012,,Chile,FALSE,,3,3,RED,OTHER BLEND,42.97,FALSE,26, VIK MILLA CALA 2012,13.9,,FALSE,,,SR,,CACHAPOAL RED ,CL,,Chile Red Wine,1112,Red Wine,FALSE,FALSE,1,42.97,0,FALSE,,,,,,,,,,,cachapoal red - vik milla cala 2012,,42.97,,11,Wine,1005,8.19087E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malbec,,France Wine,1037,4.6,,,68.99,,,,,"91 Points, Wine Spectator: ""Powerful, rich and complex, with intense and pure-tasting flavors of raspberry, red plum, meat and spice. Snappy tannins and a zesty finish of kirsch and chocolate complete the package."" (2010) 
",,,,,847210,,,http://www.bcliquorstores.com/files/847210.jpeg,12,4/4/2019 18:10,,1,3.36581E+12,FALSE,0.75,CAHORS - BALDES CLOS TRIGUEDINA PRINCE PROBUS 2008,,France,FALSE,South West,2,2,RED,MALBEC,68.99,FALSE,1, BALDES CLOS TRIGUEDINA PRINCE PROBUS 2008,13.5,,FALSE,,,SM,,CAHORS ,FR,,France Red Wine,1152,Red Wine,FALSE,FALSE,0,68.99,0,FALSE,,,,,,,,,,,cahors - baldes clos triguedina prince probus 2008,,68.99,,47,Wine,1005,3.36581E+12,3.36581E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malbec,,France Wine,1037,3.9,,,30.99,,,,,"Extra Libre by the famous Château du Cèdre presents a beautiful, dark but gentle beast. Malbec from its spiritual home, it’s rich but nimble, serious but friendly with great texture, balance and length. Made from a small parcel of organically farmed Malbec vinified and bottled without the addition of sulphites. 
",,,,,131147,,,http://www.bcliquorstores.com/files/131147.jpeg,247,4/4/2019 18:10,,1,3.51648E+12,FALSE,0.75,CAHORS - CHATEAU DU CEDRE EXTRA LIBRE VIN NATURAL 2017,,France,FALSE,South West,2,2,RED,MALBEC,30.99,FALSE,30, CHATEAU DU CEDRE EXTRA LIBRE VIN NATURAL 2017,13.5,,FALSE,,,SR,,CAHORS ,FR,,France Red Wine,1152,Red Wine,FALSE,FALSE,0,30.99,0,FALSE,,,,,,,,,,,cahors - chateau du cedre extra libre vin natural 2017,,30.99,,28,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malbec,,France Wine,1037,4.8,,,32.99,,,,,"This is a 100% Malbec made from 35-year-old organically farmed vines on limestone soil. On the nose, there are notes of dark fruits and flowers. It is rich on the palate with flavours of black plums, cherries and currants on a backdrop of vibrant, well-balanced acidity. Eighteen months of judicious use of French oak contributes delicate notes of spice, vanilla, and dried herbs in a long, satisfying finish. A modern approach to a Cahors Malbec. Perfect with games, red meats, and stews.
",,,,,206431,,,http://www.bcliquorstores.com/files/206431.jpeg,315,4/4/2019 18:10,,1,3.76006E+12,FALSE,0.75,CAHORS MALBEC - CHATEAU LES CROISILLE CALCAIRE 2014,,France,FALSE,South West,2,2,RED,MALBEC,32.99,FALSE,26, CHATEAU LES CROISILLE CALCAIRE 2014,13.5,,FALSE,,,ST,,CAHORS MALBEC ,FR,,France Red Wine,1152,Red Wine,FALSE,FALSE,0,32.99,0,FALSE,,,,,,,,,,,cahors malbec - chateau les croisille calcaire 2014,,32.99,,67,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malbec,,France Wine,1037,4.7,,,42.99,,,,,"This is a serious Malbec with a concentrated nose, perfumed and complex. On the palate, it is vibrant with driving acidity, very fine tannins and a beautiful, lingering finish. It is a delicious and radical departure from the traditional, austere Malbecs of the past. Amphût is a word combining amphora and fût (French for cask) reflecting the final product being a blend of wines aged in terracotta amphora and 500-litre oak barrels.
",,,,,180238,,,http://www.bcliquorstores.com/files/180238.jpeg,249,4/4/2019 18:10,,1,3.76022E+12,FALSE,0.75,CAHORS MALBEC - DOMAINE CAPELANEL AMPHUT 2012,,France,FALSE,South West,2,2,RED,MALBEC,42.99,FALSE,17, DOMAINE CAPELANEL AMPHUT 2012,13.5,,FALSE,,,SM,,CAHORS MALBEC ,FR,,France Red Wine,1152,Red Wine,FALSE,FALSE,0,42.99,0,FALSE,,,,,,,,,,,cahors malbec - domaine capelanel amphut 2012,,42.99,,63,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malbec,,France Wine,1037,4.2,,,45.99,,,,,"Domaine de Capelanel is a family vineyard founded in 1878, which is now run by 5th generation winemaker Sebastien Dauliac. Working with 70-year-old Malbec vines, Sebastien is breaking traditions and leaning into natural ways of making wine. His wines are fresh, lively and intense expressions of Malbec.
",,,,,180243,,,http://www.bcliquorstores.com/files/180243.jpeg,270,4/4/2019 18:10,,1,3.76022E+12,FALSE,0.75,CAHORS MALBEC - DOMAINE DE CAPELANEL CUVEE TITOUAN 2014,,France,FALSE,South West,2,2,RED,MALBEC,45.99,,13, DOMAINE DE CAPELANEL CUVEE TITOUAN 2014,13,,FALSE,,,SM,,CAHORS MALBEC ,FR,,France Red Wine,1152,Red Wine,,FALSE,0,45.99,0,FALSE,,,,,,,,,,,cahors malbec - domaine de capelanel cuvee titouan 2014,,45.99,,21,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malbec,,France Wine,1037,3,,,32.99,,,,,"92 Points, Wine Enthusiast: ""This is a single-parcel wine from old vines (which date back to the 1970s). Aged in wood, this very fine wine shows sophisticated tannins, complex spice, black-plum fruits and a judicious shot of acidity. It is a fine wine, still young and showing a good potential for aging."" (July 2017)
",,,,,632240,,,http://www.bcliquorstores.com/files/632240.jpeg,258,4/4/2019 18:10,,1,3.51626E+12,FALSE,0.75,CAHORS MALBEC - DOMAINE DE CAUSE LA LANDE CAVAGNAC 2014,,France,FALSE,South West,2,2,RED,MALBEC,32.99,,26, DOMAINE DE CAUSE LA LANDE CAVAGNAC 2014,13.5,,FALSE,,,SR,,CAHORS MALBEC ,FR,,France Red Wine,1152,Red Wine,,FALSE,0,32.99,0,FALSE,,,,,,,,,,,cahors malbec - domaine de cause la lande cavagnac 2014,,32.99,,9,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malbec,,France Wine,1037,3.2,,,23.99,,,,,"88 Points, Wine Enthusiast: ""Here is a ripe wine from a fine vintage in Cahors. With touches of spice as well as rich black-currant fruits, the wine is all about its fruitiness and acidity—ably assisted by tannins. The aftertaste just keeps the fruit coming."" (July 2017)
",,,,,948174,,,http://www.bcliquorstores.com/files/948174.jpeg,428,4/4/2019 18:10,,1,3.5585E+12,FALSE,0.75,CAHORS MALBEC MERLOT - CHATEAU EUGENIE TRADITION 2015,,France,FALSE,South West,2,2,RED,MALBEC,23.99,FALSE,33, CHATEAU EUGENIE TRADITION 2015,12.5,,FALSE,,,SR,,CAHORS MALBEC MERLOT ,FR,,France Red Wine,1152,Red Wine,FALSE,FALSE,0,23.99,0,FALSE,,,,,,,,,,,cahors malbec merlot - chateau eugenie tradition 2015,,23.99,,26,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bordeaux Blend,,France Wine,1037,3.1,,,15000,,,,,"The top wines of the vintage together in one beautiful package! Contains one of each: Château Pétrus 2014, Château Lafite Rothschild 2014, Château Mouton Rothschild 2014, Château Margaux 2014, Château Haut-Brion 2014, Château La Mission Haut-Brion 2014, Château Cheval Blanc 2014 and Château d’Yquem 2014. 
",,,,,70920,,,http://www.bcliquorstores.com/files/70920.jpeg,0,4/4/2019 18:10,Pauillac,8,6.2699E+11,TRUE,0.75,CAISSE BORDEAUX COLLECTION 2014,,France,FALSE,Bordeaux,2,2,RED,BORDEAUX BLEND,15000,FALSE,,CAISSE BORDEAUX COLLECTION 2014,13,,FALSE,,,SU,,,FR,,France Red Wine,1152,Red Wine,FALSE,FALSE,0,15000,NA,FALSE,,,,,,,,,,,caisse bordeaux collection 2014,,15000,,11,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
